City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
236,Muros,ES,2021-12-03 14:21:20,42.7762,-9.0603,56.84,96,100,10.74
237,San Patricio,US,2021-12-03 14:21:21,28.017,-97.5169,69.89,95,99,8.55
238,Riyadh,SA,2021-12-03 14:21:22,24.6877,46.7219,68.14,33,0,7.38
239,Qianjiang,CN,2021-12-03 14:21:22,30.4151,112.8859,54.23,21,100,5.08
240,Plettenberg Bay,ZA,2021-12-03 14:21:23,-34.0527,23.3716,66.97,58,96,8.1
241,Wilmington,US,2021-12-03 14:17:24,34.2257,-77.9447,62.98,66,1,0.0
242,Mocuba,MZ,2021-12-03 14:21:24,-16.8392,36.9856,102.36,20,1,5.55
243,Mecca,SA,2021-12-03 14:19:05,21.4267,39.8261,86.47,34,6,11.86
244,Magaria,NE,2021-12-03 14:21:25,12.9983,8.9099,90.27,11,5,7.34
245,Lingao,CN,2021-12-03 14:21:26,19.9103,109.6859,64.06,50,11,5.66
246,Tocopilla,CL,2021-12-03 14:21:27,-22.092,-70.1979,69.78,59,92,10.04
247,Comodoro Rivadavia,AR,2021-12-03 14:21:27,-45.8667,-67.5,67.86,28,20,10.36
248,Foumban,CM,2021-12-03 14:21:28,5.7291,10.9001,84.85,27,18,5.3
249,Acarau,BR,2021-12-03 14:18:46,-2.8856,-40.12,86.58,62,88,12.48
250,Karratha,AU,2021-12-03 14:21:28,-20.7377,116.8463,85.77,50,6,18.86
251,Taicheng,CN,2021-12-03 14:21:29,38.731,113.228,30.22,35,0,3.96
252,Aksu,CN,2021-12-03 14:21:30,41.1231,80.2644,29.66,42,30,1.12
253,Mount Gambier,AU,2021-12-03 14:21:30,-37.8333,140.7667,48.74,80,37,5.59
254,Inirida,CO,2021-12-03 14:21:31,3.8653,-67.9239,83.41,68,80,1.63
255,Dali,CN,2021-12-03 14:21:31,25.7,100.1833,48.58,84,90,2.46
256,Faanui,PF,2021-12-03 14:21:32,-16.4833,-151.75,81.21,65,94,20.56
257,Cururupu,BR,2021-12-03 14:21:07,-1.8283,-44.8683,78.85,89,99,2.37
258,Jiangyou,CN,2021-12-03 14:21:33,31.7667,104.7167,52.32,56,96,0.81
259,Xining,CN,2021-12-03 14:21:33,36.6167,101.7667,29.86,35,0,1.25
260,Bonavista,CA,2021-12-03 14:21:33,48.6499,-53.1147,50.0,93,100,36.75
261,Basco,PH,2021-12-03 14:21:34,20.4487,121.9702,73.09,64,100,25.03
262,Daura,NG,2021-12-03 14:21:35,11.5538,11.4085,92.64,15,6,6.58
263,Bousso,TD,2021-12-03 14:21:35,10.4795,16.7117,99.46,14,11,5.14
264,Sydney,AU,2021-12-03 14:21:18,-33.8679,151.2073,66.11,90,75,1.99
265,Viedma,AR,2021-12-03 14:19:20,-40.8135,-62.9967,66.18,31,8,14.12
266,Nikolskoye,RU,2021-12-03 14:21:37,59.7035,30.7861,23.02,95,100,8.95
267,Mananjary,MG,2021-12-03 14:21:37,-21.2167,48.3333,79.32,73,29,8.25
268,Wilmington Island,US,2021-12-03 14:21:38,32.0036,-80.9737,60.84,84,1,4.61
269,Bridgewater,CA,2021-12-03 14:21:10,44.3835,-64.5155,44.28,88,99,21.85
270,Tigzirt,DZ,2021-12-03 14:21:38,36.8886,4.1198,52.7,70,78,12.91
271,Saint-Pierre,RE,2021-12-03 14:21:39,-21.3393,55.4781,83.84,78,0,17.27
272,Pontes E Lacerda,BR,2021-12-03 14:17:35,-15.2261,-59.3353,85.69,64,98,5.75
273,Odienne,CI,2021-12-03 14:21:40,9.51,-7.5692,96.6,19,30,5.19
274,Bukama,CD,2021-12-03 14:21:40,-9.2,25.85,76.66,78,79,4.41
275,Abu Dhabi,AE,2021-12-03 14:21:35,24.4667,54.3667,80.62,49,0,6.91
276,Kaeo,NZ,2021-12-03 14:21:41,-35.1,173.7833,66.33,91,100,9.44
277,Hondo,JP,2021-12-03 14:21:41,32.45,130.2,54.18,63,64,24.81
